company,code,type,year,date,pdf,title
白云机场,600004,年报摘要,2017,2018-04-21,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-04-21/600004_2017_nzy.pdf,白云机场2017年年度报告摘要
白云机场,600004,年报,2018,2019-04-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-04-30/600004_2018_n.pdf,白云机场2018年年度报告
白云机场,600004,年报摘要,2018,2019-04-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-04-30/600004_2018_nzy.pdf,白云机场2018年年度报告摘要
白云机场,600004,年报摘要,2019,2020-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-28/600004_20200428_48.pdf,白云机场2019年年度报告摘要
白云机场,600004,年报,2019,2020-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-28/600004_20200428_49.pdf,白云机场2019年年度报告
白云机场,600004,年报摘要,2021,2021-04-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-04-30/600004_20210430_1.pdf,广州白云国际机场股份有限公司2020年年度报告摘要
白云机场,600004,年报,2021,2021-04-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-04-30/600004_20210430_2.pdf,广州白云国际机场股份有限公司2020年年度报告全文
白云机场,600004,年报摘要,2022,2022-04-09,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-09/600004_20220409_13_Q5iBXbBO.pdf,关于广州白云国际机场股份有限公司非经营性资金占用及其他关联资金往来情况的专项报告（2021年度）
白云机场,600004,年报摘要,2022,2022-04-09,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-09/600004_20220409_14_mGYhmwyw.pdf,中国国际金融股份有限公司关于广州白云国际机场股份有限公司非公开发行A股股票2021年度持续督导工作报告
白云机场,600004,年报摘要,2022,2022-04-09,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-09/600004_20220409_15_lyG1yH6f.pdf,广州白云国际机场股份有限公司2021年度营业收入扣除情况表的鉴证报告
白云机场,600004,年报摘要,2022,2022-04-09,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-09/600004_20220409_16_nhpiZV8x.pdf,广州白云国际机场股份有限公司独立董事关于公司2021年度内部控制评价报告的独立意见
白云机场,600004,年报摘要,2022,2022-04-09,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-09/600004_20220409_17_LSueTqPo.pdf,广州白云国际机场股份有限公司独立董事关于公司2021年度利润分配预案的独立意见
白云机场,600004,年报摘要,2022,2022-04-09,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-09/600004_20220409_18_bmqr91vC.pdf,广州白云国际机场股份有限公司独立董事关于聘任财务审计机构和内控审计机构的事前认可意见
白云机场,600004,年报摘要,2022,2022-04-09,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-09/600004_20220409_19_JOHb3EXo.pdf,广州白云国际机场股份有限公司独立董事关于聘任财务审计机构和内控审计机构的独立意见
白云机场,600004,年报摘要,2022,2022-04-09,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-09/600004_20220409_1_4kZETFn9.pdf, 广州白云国际机场股份有限公司2021年年度报告摘要
白云机场,600004,年报,2022,2022-04-09,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-09/600004_20220409_2_lBMBIOJQ.pdf,广州白云国际机场股份有限公司2021年年度报告
白云机场,600004,年报,2023,2023-04-19,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-19/600004_20230419_9OGR.pdf,广州白云国际机场股份有限公司2022年度报告全文
白云机场,600004,年报摘要,2023,2023-04-19,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-19/600004_20230419_IGZG.pdf,广州白云国际机场股份有限公司2022年度报告摘要
东风汽车,600006,年报,2015,2016-04-23,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-23/600006_2015_n.pdf,东风汽车2015年年度报告
东风汽车,600006,年报摘要,2015,2016-04-23,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-23/600006_2015_nzy.pdf,东风汽车2015年年度报告摘要
东风汽车,600006,年报,2016,2017-05-10,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-05-10/600006_2016_n.pdf,东风汽车2016年年度报告（更正修订）
东风汽车,600006,年报摘要,2016,2017-05-10,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-05-10/600006_2016_nzy.pdf,东风汽车2016年年度报告摘要（更正修订）
东风汽车,600006,年报,2016,2017-04-15,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-04-15/600006_2016_n.pdf,东风汽车2016年年度报告
东风汽车,600006,年报摘要,2016,2017-04-15,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-04-15/600006_2016_nzy.pdf,东风汽车2016年年度报告摘要
东风汽车,600006,年报,2017,2018-03-31,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-03-31/600006_2017_n.pdf,东风汽车2017年年度报告
东风汽车,600006,年报摘要,2017,2018-03-31,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-03-31/600006_2017_nzy.pdf,东风汽车2017年年度报告摘要
东风汽车,600006,年报,2018,2019-03-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-03-30/600006_2018_n.pdf,东风汽车2018年年度报告
东风汽车,600006,年报摘要,2018,2019-03-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-03-30/600006_2018_nzy.pdf,东风汽车2018年年度报告摘要
东风汽车,600006,年报摘要,2019,2020-04-29,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-29/600006_20200429_1.pdf,东风汽车2019年年度报告摘要
东风汽车,600006,年报,2019,2020-04-29,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-29/600006_20200429_2.pdf,东风汽车2019年年度报告
东风汽车,600006,年报摘要,2021,2021-03-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-03-30/600006_20210330_1.pdf,东风汽车股份有限公司2020年年度报告摘要
东风汽车,600006,年报,2021,2021-03-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-03-30/600006_20210330_2.pdf,东风汽车股份有限公司2020年年度报告
东风汽车,600006,年报摘要,2022,2022-03-31,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-03-31/600006_20220331_1_kE1ymnjj.pdf,东风汽车股份有限公司2021年年度报告摘要
东风汽车,600006,年报,2022,2022-03-31,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-03-31/600006_20220331_2_NQvTpPNF.pdf,东风汽车股份有限公司2021年年度报告
东风汽车,600006,年报摘要,2023,2023-04-11,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-11/600006_20230411_2IO5.pdf,东风汽车股份有限公司2022年年度报告摘要
